Issue key,Issue id,Issue Type,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date,Labels,Custom field (Resolution.)
OSSSUP-88161,1995463,Scratch installation,Scratch install entity lab CLAB1540 to N20 build 'netact20/product/20.0.0.53',x30zhang,x30zhang,Minor,Closed,Fixed,11.5.2020 9:44,11.5.2020 16:54,,,
OSSSUP-88160,1995460,Unplanned SW upgrade,Revert and upgrade entity lab CLAB3271 to SP2005 build 'netact19_sp_stabi/product/19.0.17.27',x30zhang,x30zhang,Minor,Closed,Fixed,11.5.2020 9:40,12.5.2020 9:24,,,
OSSSUP-88159,1995278,Unplanned SW upgrade,Sprintlab085 customer like upgrade with new version of FP716 P7.3 20200509T092718,k1n,parnold,Minor,Resolved,Resolved,9.5.2020 19:56,10.5.2020 0:15,,VP(VerificationPipeline),
OSSSUP-88158,1995123,Unplanned SW upgrade,Please help to upgrade CLAB1719 NA19SP2005,k1n,sherxu,Minor,Resolved,Resolved,9.5.2020 14:37,10.5.2020 15:10,,,
OSSSUP-88157,1995099,Scratch installation,scratch and install NetAct18A SP1812 in CLAB500,w2yu,sudhkuma,Minor,Closed,Fixed,9.5.2020 14:17,11.5.2020 8:47,,,
OSSSUP-88156,1995051,Unplanned SW upgrade,Upgrade VSP0047 to NA19SP2006,junlili,sussun,Minor,Closed,Fixed,9.5.2020 13:40,12.5.2020 9:17,,,
OSSSUP-88155,1995028,Unplanned SW upgrade,Upgrade Sprintlab450 to N19 SP1912 C5,x30zhang,x30zhang,Minor,Closed,Fixed,9.5.2020 13:29,11.5.2020 9:33,,VP(VerificationPipeline),
OSSSUP-88154,1994858,Configuration problem / Broken lab,Scratch install CLAB3316 with NA19P8+SP639 failed,w2yu,dandwu,Minor,Closed,Fixed,9.5.2020 9:56,11.5.2020 14:28,,,
OSSSUP-88153,1994832,Question,[clab2004] dns error,junlili,nayu,Minor,Closed,Fixed,9.5.2020 9:26,9.5.2020 14:09,,,
OSSSUP-88152,1994784,Scratch installation,Please scratch install QL4_99 NetAct on clab1068,k1n,szeremet,Minor,Open,,9.5.2020 0:09,12.5.2020 19:29,,,
OSSSUP-88151,1994753,Unplanned SW upgrade,Upgrade to netact19_sp/product/19.0.99.1476 Failed in CLAB3263,k1n,kkurian,Minor,Resolved,Resolved,8.5.2020 22:53,9.5.2020 12:35,,,
OSSSUP-88150,1994700,Other,There are services that failed at clab1345node25,k1n,mtrandaf,Minor,Resolved,Resolved,8.5.2020 21:22,8.5.2020 21:54,,,
